res	var	time	id	start	end	path
monthly	more_precip	historical	04700	19510101	19620227	/monthly/more_precip/historical/monatswerte_RR_04700_19510101_19620227_hist.zip
monthly	more_precip	historical	04701	19160101	20031231	/monthly/more_precip/historical/monatswerte_RR_04701_19160101_20031231_hist.zip
monthly	more_precip	historical	04703	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04703_18910101_20151231_hist.zip
monthly	more_precip	historical	04704	19240101	20151231	/monthly/more_precip/historical/monatswerte_RR_04704_19240101_20151231_hist.zip
monthly	more_precip	historical	04705	19140101	19531230	/monthly/more_precip/historical/monatswerte_RR_04705_19140101_19531230_hist.zip
monthly	more_precip	historical	04706	19170101	20151231	/monthly/more_precip/historical/monatswerte_RR_04706_19170101_20151231_hist.zip
monthly	more_precip	historical	04707	19370101	20151231	/monthly/more_precip/historical/monatswerte_RR_04707_19370101_20151231_hist.zip
monthly	more_precip	historical	04708	19360101	20151231	/monthly/more_precip/historical/monatswerte_RR_04708_19360101_20151231_hist.zip
monthly	more_precip	historical	04709	19360101	20151231	/monthly/more_precip/historical/monatswerte_RR_04709_19360101_20151231_hist.zip
monthly	more_precip	historical	04710	19150101	20151231	/monthly/more_precip/historical/monatswerte_RR_04710_19150101_20151231_hist.zip
monthly	more_precip	historical	04711	19911201	20000831	/monthly/more_precip/historical/monatswerte_RR_04711_19911201_20000831_hist.zip
monthly	more_precip	historical	04712	19110101	20151231	/monthly/more_precip/historical/monatswerte_RR_04712_19110101_20151231_hist.zip
monthly	more_precip	historical	04713	19500101	20151231	/monthly/more_precip/historical/monatswerte_RR_04713_19500101_20151231_hist.zip
monthly	more_precip	historical	04714	19110101	20090331	/monthly/more_precip/historical/monatswerte_RR_04714_19110101_20090331_hist.zip
monthly	more_precip	historical	04715	18930101	20070430	/monthly/more_precip/historical/monatswerte_RR_04715_18930101_20070430_hist.zip
monthly	more_precip	historical	04716	19060101	20041231	/monthly/more_precip/historical/monatswerte_RR_04716_19060101_20041231_hist.zip
monthly	more_precip	historical	04717	18910101	20021231	/monthly/more_precip/historical/monatswerte_RR_04717_18910101_20021231_hist.zip
monthly	more_precip	historical	04718	19270101	20031231	/monthly/more_precip/historical/monatswerte_RR_04718_19270101_20031231_hist.zip
monthly	more_precip	historical	04719	20000601	20070831	/monthly/more_precip/historical/monatswerte_RR_04719_20000601_20070831_hist.zip
monthly	more_precip	historical	04720	19510101	20021231	/monthly/more_precip/historical/monatswerte_RR_04720_19510101_20021231_hist.zip
monthly	more_precip	historical	04721	19690501	20021231	/monthly/more_precip/historical/monatswerte_RR_04721_19690501_20021231_hist.zip
monthly	more_precip	historical	04722	19690501	20061231	/monthly/more_precip/historical/monatswerte_RR_04722_19690501_20061231_hist.zip
monthly	more_precip	historical	04725	19780101	20040331	/monthly/more_precip/historical/monatswerte_RR_04725_19780101_20040331_hist.zip
monthly	more_precip	historical	04726	19830101	19980930	/monthly/more_precip/historical/monatswerte_RR_04726_19830101_19980930_hist.zip
monthly	more_precip	historical	04727	18901101	20060228	/monthly/more_precip/historical/monatswerte_RR_04727_18901101_20060228_hist.zip
monthly	more_precip	historical	04729	19890701	20040229	/monthly/more_precip/historical/monatswerte_RR_04729_19890701_20040229_hist.zip
monthly	more_precip	historical	04730	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04730_18910101_20151231_hist.zip
monthly	more_precip	historical	04731	18910101	20061231	/monthly/more_precip/historical/monatswerte_RR_04731_18910101_20061231_hist.zip
monthly	more_precip	historical	04732	19510101	20151231	/monthly/more_precip/historical/monatswerte_RR_04732_19510101_20151231_hist.zip
monthly	more_precip	historical	04733	18910101	19930930	/monthly/more_precip/historical/monatswerte_RR_04733_18910101_19930930_hist.zip
monthly	more_precip	historical	04734	18910101	19960430	/monthly/more_precip/historical/monatswerte_RR_04734_18910101_19960430_hist.zip
monthly	more_precip	historical	04736	19730101	20151231	/monthly/more_precip/historical/monatswerte_RR_04736_19730101_20151231_hist.zip
monthly	more_precip	historical	04737	19510101	19930731	/monthly/more_precip/historical/monatswerte_RR_04737_19510101_19930731_hist.zip
monthly	more_precip	historical	04738	19310101	20061231	/monthly/more_precip/historical/monatswerte_RR_04738_19310101_20061231_hist.zip
monthly	more_precip	historical	04739	18910101	20041231	/monthly/more_precip/historical/monatswerte_RR_04739_18910101_20041231_hist.zip
monthly	more_precip	historical	04740	19510101	19991231	/monthly/more_precip/historical/monatswerte_RR_04740_19510101_19991231_hist.zip
monthly	more_precip	historical	04741	19310101	20151231	/monthly/more_precip/historical/monatswerte_RR_04741_19310101_20151231_hist.zip
monthly	more_precip	historical	04742	19410101	20041231	/monthly/more_precip/historical/monatswerte_RR_04742_19410101_20041231_hist.zip
monthly	more_precip	historical	04743	19210101	20021231	/monthly/more_precip/historical/monatswerte_RR_04743_19210101_20021231_hist.zip
monthly	more_precip	historical	04744	19780101	19980331	/monthly/more_precip/historical/monatswerte_RR_04744_19780101_19980331_hist.zip
monthly	more_precip	historical	04745	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04745_18910101_20151231_hist.zip
monthly	more_precip	historical	04746	19370101	19850930	/monthly/more_precip/historical/monatswerte_RR_04746_19370101_19850930_hist.zip
monthly	more_precip	historical	04747	18870101	20061231	/monthly/more_precip/historical/monatswerte_RR_04747_18870101_20061231_hist.zip
monthly	more_precip	historical	04748	18940101	20101231	/monthly/more_precip/historical/monatswerte_RR_04748_18940101_20101231_hist.zip
monthly	more_precip	historical	04749	19910101	19971231	/monthly/more_precip/historical/monatswerte_RR_04749_19910101_19971231_hist.zip
monthly	more_precip	historical	04750	19470701	20061231	/monthly/more_precip/historical/monatswerte_RR_04750_19470701_20061231_hist.zip
monthly	more_precip	historical	04751	19690101	20151231	/monthly/more_precip/historical/monatswerte_RR_04751_19690101_20151231_hist.zip
monthly	more_precip	historical	04752	19510101	20080630	/monthly/more_precip/historical/monatswerte_RR_04752_19510101_20080630_hist.zip
monthly	more_precip	historical	04754	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04754_18910101_20151231_hist.zip
monthly	more_precip	historical	04755	19130101	20151231	/monthly/more_precip/historical/monatswerte_RR_04755_19130101_20151231_hist.zip
monthly	more_precip	historical	04756	18910101	19880630	/monthly/more_precip/historical/monatswerte_RR_04756_18910101_19880630_hist.zip
monthly	more_precip	historical	04757	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04757_18910101_20151231_hist.zip
monthly	more_precip	historical	04758	19510101	19920831	/monthly/more_precip/historical/monatswerte_RR_04758_19510101_19920831_hist.zip
monthly	more_precip	historical	04759	19610101	20151231	/monthly/more_precip/historical/monatswerte_RR_04759_19610101_20151231_hist.zip
monthly	more_precip	historical	04761	18910101	19901231	/monthly/more_precip/historical/monatswerte_RR_04761_18910101_19901231_hist.zip
monthly	more_precip	historical	04762	18910101	20021231	/monthly/more_precip/historical/monatswerte_RR_04762_18910101_20021231_hist.zip
monthly	more_precip	historical	04763	19510101	20151231	/monthly/more_precip/historical/monatswerte_RR_04763_19510101_20151231_hist.zip
monthly	more_precip	historical	04765	18910101	20151231	/monthly/more_precip/historical/monatswerte_RR_04765_18910101_20151231_hist.zip
